date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-01-10,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-11,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-12,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-13,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-14,6457.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-15,9243.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-16,9134.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-17,8678.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-18,9673.0,304.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-19,10876.0,1034.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-20,15156.0,2007.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-21,15108.0,3214.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-22,13746.0,3540.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-23,13233.0,4243.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-24,12773.0,4289.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-25,12601.0,4306.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-26,12888.0,4346.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-27,9199.0,5126.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-28,6464.0,5633.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-29,6455.0,7157.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-30,7421.0,13551.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-31,7625.0,15207.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-01,7232.0,15866.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-02,7665.0,19062.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-03,8708.0,28233.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-04,9141.0,39329.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-05,9793.0,50669.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-06,9133.0,62123.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-07,9309.0,66621.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-08,10056.0,71135.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,9995.0,78852.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,11025.0,90983.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,11570.0,106450.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,12569.0,122349.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,12027.0,136564.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,12011.0,141922.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-15,10834.0,143889.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
