date,daily_vaccinations,people_fully_vaccinated,vaccines
2020-12-29,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-30,2889.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-31,1477.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-01,1007.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-02,799.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-03,675.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-04,592.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-05,533.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-06,472.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-07,920.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-08,1231.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-09,1222.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-10,1246.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-11,1270.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-12,1476.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-13,1304.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-14,938.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-15,682.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-16,694.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-17,662.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-18,782.0,1114.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-19,921.0,3168.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-20,1013.0,4293.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-21,1081.0,4532.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-22,1139.0,4605.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-23,1112.0,4610.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-24,1099.0,4610.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-25,1023.0,4669.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-26,985.0,5455.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-27,1256.0,7672.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-28,1769.0,10883.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-29,2101.0,12949.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-30,2129.0,13063.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-31,2140.0,13084.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-01,2262.0,13656.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-02,2399.0,15100.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-03,2458.0,16433.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-04,2341.0,17096.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-05,2294.0,17392.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-06,2285.0,17392.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-07,2273.0,17392.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-08,2322.0,17481.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,2359.0,17946.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,2291.0,18612.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,2443.0,19688.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,2548.0,20571.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,2615.0,20674.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,2621.0,20698.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-15,2650.0,21323.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
