date,daily_vaccinations,people_fully_vaccinated,vaccines
2020-12-19,,,"Moderna, Pfizer/BioNTech"
2020-12-26,,,"Moderna, Pfizer/BioNTech"
2021-01-02,,,"Moderna, Pfizer/BioNTech"
2021-01-09,,3613.0,"Moderna, Pfizer/BioNTech"
2021-01-12,,,"Moderna, Pfizer/BioNTech"
2021-01-13,4282.0,,"Moderna, Pfizer/BioNTech"
2021-01-14,7285.0,,"Moderna, Pfizer/BioNTech"
2021-01-15,10736.0,,"Moderna, Pfizer/BioNTech"
2021-01-16,14575.0,26768.0,"Moderna, Pfizer/BioNTech"
2021-01-17,18415.0,,"Moderna, Pfizer/BioNTech"
2021-01-18,22255.0,,"Moderna, Pfizer/BioNTech"
2021-01-19,27529.0,,"Moderna, Pfizer/BioNTech"
2021-01-20,28179.0,,"Moderna, Pfizer/BioNTech"
2021-01-21,56525.0,,"Moderna, Pfizer/BioNTech"
2021-01-22,58593.0,,"Moderna, Pfizer/BioNTech"
2021-01-23,57133.0,59217.0,"Moderna, Pfizer/BioNTech"
2021-01-24,55673.0,,"Moderna, Pfizer/BioNTech"
2021-01-25,54213.0,,"Moderna, Pfizer/BioNTech"
2021-01-26,52466.0,,"Moderna, Pfizer/BioNTech"
2021-01-27,57828.0,,"Moderna, Pfizer/BioNTech"
2021-01-28,29173.0,,"Moderna, Pfizer/BioNTech"
2021-01-29,26423.0,,"Moderna, Pfizer/BioNTech"
2021-01-30,25822.0,113446.0,"Moderna, Pfizer/BioNTech"
2021-01-31,25221.0,,"Moderna, Pfizer/BioNTech"
2021-02-01,24619.0,,"Moderna, Pfizer/BioNTech"
2021-02-02,22705.0,,"Moderna, Pfizer/BioNTech"
2021-02-03,15531.0,,"Moderna, Pfizer/BioNTech"
2021-02-04,14915.0,,"Moderna, Pfizer/BioNTech"
2021-02-05,14976.0,,"Moderna, Pfizer/BioNTech"
2021-02-06,15805.0,173804.0,"Moderna, Pfizer/BioNTech"
2021-02-07,16634.0,,"Moderna, Pfizer/BioNTech"
2021-02-08,17463.0,,"Moderna, Pfizer/BioNTech"
2021-02-09,19046.0,,"Moderna, Pfizer/BioNTech"
2021-02-10,22105.0,,"Moderna, Pfizer/BioNTech"
2021-02-11,24474.0,,"Moderna, Pfizer/BioNTech"
2021-02-12,25624.0,,"Moderna, Pfizer/BioNTech"
2021-02-13,24770.0,,"Moderna, Pfizer/BioNTech"
2021-02-14,23916.0,,"Moderna, Pfizer/BioNTech"
2021-02-15,23062.0,,"Moderna, Pfizer/BioNTech"
