date,daily_vaccinations,people_fully_vaccinated,vaccines
2020-12-24,,,"Pfizer/BioNTech, Sinovac"
2020-12-25,4779.0,,"Pfizer/BioNTech, Sinovac"
2020-12-26,3960.0,,"Pfizer/BioNTech, Sinovac"
2020-12-27,2743.0,,"Pfizer/BioNTech, Sinovac"
2020-12-28,2058.0,,"Pfizer/BioNTech, Sinovac"
2020-12-29,1646.0,,"Pfizer/BioNTech, Sinovac"
2020-12-30,1372.0,,"Pfizer/BioNTech, Sinovac"
2020-12-31,1176.0,,"Pfizer/BioNTech, Sinovac"
2021-01-01,493.0,,"Pfizer/BioNTech, Sinovac"
2021-01-02,44.0,,"Pfizer/BioNTech, Sinovac"
2021-01-03,,,"Pfizer/BioNTech, Sinovac"
2021-01-04,58.0,,"Pfizer/BioNTech, Sinovac"
2021-01-05,264.0,,"Pfizer/BioNTech, Sinovac"
2021-01-06,293.0,,"Pfizer/BioNTech, Sinovac"
2021-01-07,293.0,,"Pfizer/BioNTech, Sinovac"
2021-01-08,293.0,,"Pfizer/BioNTech, Sinovac"
2021-01-09,293.0,,"Pfizer/BioNTech, Sinovac"
2021-01-10,293.0,,"Pfizer/BioNTech, Sinovac"
2021-01-11,235.0,,"Pfizer/BioNTech, Sinovac"
2021-01-12,29.0,,"Pfizer/BioNTech, Sinovac"
2021-01-13,147.0,1029.0,"Pfizer/BioNTech, Sinovac"
2021-01-14,1135.0,5825.0,"Pfizer/BioNTech, Sinovac"
2021-01-15,1625.0,8297.0,"Pfizer/BioNTech, Sinovac"
2021-01-16,1638.0,8364.0,"Pfizer/BioNTech, Sinovac"
2021-01-17,1638.0,8364.0,"Pfizer/BioNTech, Sinovac"
2021-01-18,3215.0,8364.0,"Pfizer/BioNTech, Sinovac"
2021-01-19,5973.0,8366.0,"Pfizer/BioNTech, Sinovac"
2021-01-20,7147.0,8366.0,"Pfizer/BioNTech, Sinovac"
2021-01-21,6596.0,8366.0,"Pfizer/BioNTech, Sinovac"
2021-01-22,6165.0,8366.0,"Pfizer/BioNTech, Sinovac"
2021-01-23,6152.0,8366.0,"Pfizer/BioNTech, Sinovac"
2021-01-24,6152.0,8366.0,"Pfizer/BioNTech, Sinovac"
2021-01-25,4777.0,9765.0,"Pfizer/BioNTech, Sinovac"
2021-01-26,2107.0,10359.0,"Pfizer/BioNTech, Sinovac"
2021-01-27,791.0,10393.0,"Pfizer/BioNTech, Sinovac"
2021-01-28,354.0,10393.0,"Pfizer/BioNTech, Sinovac"
2021-01-29,296.0,10398.0,"Pfizer/BioNTech, Sinovac"
2021-01-30,296.0,10398.0,"Pfizer/BioNTech, Sinovac"
2021-01-31,296.0,10398.0,"Pfizer/BioNTech, Sinovac"
2021-02-01,94.0,10398.0,"Pfizer/BioNTech, Sinovac"
2021-02-02,1879.0,10404.0,"Pfizer/BioNTech, Sinovac"
2021-02-03,26114.0,10404.0,"Pfizer/BioNTech, Sinovac"
2021-02-04,51166.0,12511.0,"Pfizer/BioNTech, Sinovac"
2021-02-05,75258.0,13181.0,"Pfizer/BioNTech, Sinovac"
2021-02-06,79168.0,13186.0,"Pfizer/BioNTech, Sinovac"
2021-02-07,80395.0,13186.0,"Pfizer/BioNTech, Sinovac"
2021-02-08,113409.0,24752.0,"Pfizer/BioNTech, Sinovac"
2021-02-09,148562.0,43872.0,"Pfizer/BioNTech, Sinovac"
2021-02-10,163899.0,52041.0,"Pfizer/BioNTech, Sinovac"
2021-02-11,174613.0,54582.0,"Pfizer/BioNTech, Sinovac"
2021-02-12,182809.0,54785.0,"Pfizer/BioNTech, Sinovac"
2021-02-13,183057.0,54819.0,"Pfizer/BioNTech, Sinovac"
2021-02-14,182467.0,54819.0,"Pfizer/BioNTech, Sinovac"
2021-02-15,183730.0,54819.0,"Pfizer/BioNTech, Sinovac"
