date,daily_vaccinations,people_fully_vaccinated,vaccines
2020-12-27,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-28,2283.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-29,2872.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-30,3070.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-31,2630.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-01,2156.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-02,2006.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-03,1850.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-04,2034.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-05,2184.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-06,2518.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-07,3465.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-08,4847.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-09,4953.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-10,5067.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-11,5952.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-12,7218.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-13,8313.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-14,9333.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-15,9888.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-16,10077.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-17,10271.0,624.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-18,10901.0,2401.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-19,11128.0,5089.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-20,11455.0,7703.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-21,11713.0,9411.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-22,11954.0,10414.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-23,12057.0,11253.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-24,12058.0,12111.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-25,11801.0,15020.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-26,11692.0,18954.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-27,11330.0,23418.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-28,10782.0,29472.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-29,10527.0,37181.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-30,10204.0,38249.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-31,10024.0,39370.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-01,9888.0,47138.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-02,9859.0,57103.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-03,10120.0,67901.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-04,10744.0,80586.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-05,11026.0,91091.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-06,11219.0,93387.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-07,11407.0,95697.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-08,11887.0,106869.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,12227.0,118517.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,12646.0,131223.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,13124.0,146406.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,13548.0,159815.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,13685.0,162490.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,13540.0,163749.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
