date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-01-21,,,Pfizer/BioNTech
2021-01-22,108.0,,Pfizer/BioNTech
2021-01-23,294.0,,Pfizer/BioNTech
2021-01-24,355.0,,Pfizer/BioNTech
2021-01-25,386.0,,Pfizer/BioNTech
2021-01-26,405.0,,Pfizer/BioNTech
2021-01-27,417.0,,Pfizer/BioNTech
2021-01-28,426.0,,Pfizer/BioNTech
2021-01-29,477.0,,Pfizer/BioNTech
2021-01-30,475.0,,Pfizer/BioNTech
2021-01-31,472.0,,Pfizer/BioNTech
2021-02-01,470.0,,Pfizer/BioNTech
2021-02-02,468.0,,Pfizer/BioNTech
2021-02-03,466.0,,Pfizer/BioNTech
2021-02-04,464.0,,Pfizer/BioNTech
