date,daily_vaccinations,people_fully_vaccinated,vaccines
2020-12-27,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-28,18642.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-29,30544.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-30,39594.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-31,39224.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-01,36271.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-02,38771.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-03,36839.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-04,41084.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-05,42489.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-06,42553.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-07,45453.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-08,50531.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-09,51330.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-10,52471.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-11,54939.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-12,59192.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-13,64945.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-14,70904.0,114.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-15,75563.0,544.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-16,75576.0,938.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-17,77189.0,14506.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-18,78428.0,30932.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-19,80167.0,57913.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-20,84370.0,108317.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-21,83613.0,143041.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-22,86641.0,173323.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-23,91576.0,216249.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-24,94605.0,244015.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-25,97802.0,283229.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-26,98941.0,332331.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-27,96655.0,390336.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-28,97427.0,439042.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-29,96748.0,491595.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-30,95874.0,538548.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-31,95396.0,569682.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-01,97775.0,634780.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-02,101045.0,703587.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-03,104740.0,786111.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-04,109488.0,858174.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-05,112502.0,930154.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-06,114848.0,985082.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-07,114343.0,1011352.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-08,112171.0,1059380.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,112953.0,1126178.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,113421.0,1195499.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,114211.0,1264837.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,117055.0,1338961.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,117713.0,1384138.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,118146.0,1410239.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
