date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-01-24,,522.0,Pfizer/BioNTech
2021-01-25,252.0,,Pfizer/BioNTech
2021-01-26,252.0,,Pfizer/BioNTech
2021-01-27,252.0,,Pfizer/BioNTech
2021-01-28,252.0,,Pfizer/BioNTech
2021-01-29,252.0,,Pfizer/BioNTech
2021-01-30,252.0,,Pfizer/BioNTech
2021-01-31,252.0,,Pfizer/BioNTech
2021-02-01,252.0,,Pfizer/BioNTech
2021-02-02,252.0,,Pfizer/BioNTech
2021-02-03,252.0,,Pfizer/BioNTech
2021-02-04,252.0,,Pfizer/BioNTech
2021-02-05,252.0,,Pfizer/BioNTech
2021-02-06,252.0,,Pfizer/BioNTech
