date,daily_vaccinations,people_fully_vaccinated,vaccines
2020-12-31,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-01,550.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-02,550.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-03,550.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-04,550.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-05,1194.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-06,1624.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-07,1931.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-08,3028.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-09,4124.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-10,5221.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-11,6919.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-12,8157.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-13,9394.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-14,9452.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-15,8873.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-16,8293.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-17,7714.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-18,7267.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-19,6819.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-20,6371.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-21,6528.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-22,6686.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-23,6843.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-24,7000.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-25,6552.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-26,6105.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-27,5657.0,13800.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-28,6271.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-29,6886.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-30,7500.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-31,8114.0,49300.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-01,8118.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-02,8122.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-03,8126.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-04,7643.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-05,7159.0,79554.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-06,6486.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-07,5812.0,86833.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-08,5337.0,88453.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,5157.0,89380.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,5472.0,89818.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,5214.0,89834.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,4924.0,89999.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
