date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-01-24,,3051.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-25,493.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-26,493.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-27,493.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-28,493.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-29,493.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-30,493.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-31,493.0,3131.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-01,549.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-02,604.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-03,660.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-04,715.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-05,770.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-06,826.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-07,881.0,3178.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
