date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-02-02,,,Oxford/AstraZeneca
2021-02-03,698.0,,Oxford/AstraZeneca
2021-02-04,1162.0,,Oxford/AstraZeneca
2021-02-05,1130.0,,Oxford/AstraZeneca
2021-02-06,1494.0,,Oxford/AstraZeneca
2021-02-07,1774.0,,Oxford/AstraZeneca
2021-02-08,2009.0,,Oxford/AstraZeneca
2021-02-09,2196.0,,Oxford/AstraZeneca
2021-02-10,2655.0,,Oxford/AstraZeneca
2021-02-11,3160.0,,Oxford/AstraZeneca
2021-02-12,3300.0,,Oxford/AstraZeneca
2021-02-13,3750.0,,Oxford/AstraZeneca
2021-02-14,4120.0,,Oxford/AstraZeneca
