date,daily_vaccinations,people_fully_vaccinated,vaccines
2020-12-13,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-14,1778.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-15,1778.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-16,1778.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-17,1778.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-18,1778.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-19,1778.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-20,1778.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-21,1829.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-22,1880.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-23,1931.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-24,1982.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-25,2033.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-26,2084.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-27,2135.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-28,2054.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-29,1972.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-30,1890.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-31,1808.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-01,1726.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-02,1645.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-03,1563.0,1271.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-04,2360.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-05,3157.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-06,3954.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-07,4751.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-08,5548.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-09,6345.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-10,7143.0,13949.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-11,7197.0,15288.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-12,7574.0,17840.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-13,8332.0,19010.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-14,9044.0,19264.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-15,8530.0,19474.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-16,7964.0,20174.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-17,7826.0,21016.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-18,7852.0,21579.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-19,7306.0,21960.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-20,6404.0,22326.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-21,5674.0,22510.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-22,5664.0,22660.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-23,5396.0,22687.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-24,5089.0,22713.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-25,4525.0,22795.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-26,4379.0,22910.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-27,4668.0,23927.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-28,6665.0,24070.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-29,7312.0,24146.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-30,8656.0,24323.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-31,9152.0,24612.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-01,10314.0,24882.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-02,11539.0,25155.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-03,12866.0,25539.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-04,11583.0,26047.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-05,12601.0,26531.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-06,12028.0,27207.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-07,12074.0,27463.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-08,12412.0,27589.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,12801.0,27772.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,13231.0,28137.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,14384.0,28552.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,14327.0,28937.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,13851.0,28976.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,13615.0,29005.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
