date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-01-19,,,Pfizer/BioNTech
2021-01-20,641.0,,Pfizer/BioNTech
2021-01-21,1364.0,,Pfizer/BioNTech
2021-01-22,1694.0,,Pfizer/BioNTech
2021-01-23,1398.0,,Pfizer/BioNTech
2021-01-24,1284.0,,Pfizer/BioNTech
2021-01-25,1100.0,,Pfizer/BioNTech
2021-01-26,1071.0,,Pfizer/BioNTech
2021-01-27,1129.0,,Pfizer/BioNTech
2021-01-28,856.0,,Pfizer/BioNTech
2021-01-29,527.0,,Pfizer/BioNTech
2021-01-30,454.0,,Pfizer/BioNTech
2021-01-31,336.0,,Pfizer/BioNTech
2021-02-01,565.0,,Pfizer/BioNTech
2021-02-02,645.0,,Pfizer/BioNTech
2021-02-03,545.0,,Pfizer/BioNTech
2021-02-04,529.0,,Pfizer/BioNTech
2021-02-05,524.0,,Pfizer/BioNTech
2021-02-06,524.0,,Pfizer/BioNTech
2021-02-07,524.0,,Pfizer/BioNTech
2021-02-08,270.0,,Pfizer/BioNTech
2021-02-09,61.0,,Pfizer/BioNTech
2021-02-10,11.0,,Pfizer/BioNTech
2021-02-11,2.0,,Pfizer/BioNTech
2021-02-12,,,Pfizer/BioNTech
2021-02-13,,,Pfizer/BioNTech
2021-02-14,,,Pfizer/BioNTech
2021-02-15,,,Pfizer/BioNTech
