date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-01-08,,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-09,1150.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-10,1150.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-11,1503.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-12,1680.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-13,1785.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-14,1856.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-15,2221.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-16,2687.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-17,3153.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-18,3468.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-19,3783.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-20,4098.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-21,9528.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-22,13880.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-23,19485.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-24,26632.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-25,31534.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-26,39901.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-27,45317.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-28,45246.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-29,44435.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-30,39146.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-01-31,34158.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-02-01,31416.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-02-02,25209.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-02-03,21689.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-02-04,17911.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-02-05,15373.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-02-06,14844.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-02-07,12472.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-02-08,14258.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-02-09,16044.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-02-10,18092.0,47665.0,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-02-11,27493.0,83262.0,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-02-12,42393.0,,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
2021-02-13,58511.0,167710.0,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
