date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-01-09,,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-10,500.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-11,500.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-12,500.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-13,500.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-14,600.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-15,667.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-16,1000.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-17,1118.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-18,1236.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-19,1354.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-20,1595.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-21,1718.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-22,1841.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-23,1622.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-24,1542.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-25,1463.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-26,1677.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-27,1775.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-28,1965.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-29,1996.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-30,1988.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-01-31,2079.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-02-01,2170.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-02-02,1939.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-02-03,1644.0,5.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-02-04,1287.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-02-05,1089.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-02-06,987.0,1586.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-02-07,966.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-02-08,945.0,3980.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-02-09,1163.0,6700.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-02-10,1567.0,10335.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-02-11,2005.0,13867.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-02-12,2203.0,,"Oxford/AstraZeneca, Sinopharm/Beijing"
2021-02-13,2401.0,14181.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
