date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-01-04,,,Pfizer/BioNTech
2021-01-05,425.0,,Pfizer/BioNTech
2021-01-06,3309.0,,Pfizer/BioNTech
2021-01-07,4554.0,,Pfizer/BioNTech
2021-01-08,5176.0,,Pfizer/BioNTech
2021-01-09,4462.0,,Pfizer/BioNTech
2021-01-10,4226.0,,Pfizer/BioNTech
2021-01-11,4202.0,,Pfizer/BioNTech
2021-01-12,5650.0,,Pfizer/BioNTech
2021-01-13,5730.0,,Pfizer/BioNTech
2021-01-14,5789.0,,Pfizer/BioNTech
2021-01-15,5905.0,,Pfizer/BioNTech
2021-01-16,5870.0,,Pfizer/BioNTech
2021-01-17,5442.0,,Pfizer/BioNTech
2021-01-18,6121.0,582.0,Pfizer/BioNTech
2021-01-19,5742.0,1043.0,Pfizer/BioNTech
2021-01-20,5904.0,1907.0,Pfizer/BioNTech
2021-01-21,5884.0,2555.0,Pfizer/BioNTech
2021-01-22,5729.0,2688.0,Pfizer/BioNTech
2021-01-23,5574.0,2688.0,Pfizer/BioNTech
2021-01-24,5567.0,2688.0,Pfizer/BioNTech
2021-01-25,5589.0,4981.0,Pfizer/BioNTech
2021-01-26,5491.0,5237.0,Pfizer/BioNTech
2021-01-27,5374.0,5509.0,Pfizer/BioNTech
2021-01-28,5715.0,7031.0,Pfizer/BioNTech
2021-01-29,6434.0,9365.0,Pfizer/BioNTech
2021-01-30,6593.0,9368.0,Pfizer/BioNTech
2021-01-31,6633.0,9536.0,Pfizer/BioNTech
2021-02-01,7033.0,12445.0,Pfizer/BioNTech
2021-02-02,7752.0,15890.0,Pfizer/BioNTech
2021-02-03,8415.0,18220.0,Pfizer/BioNTech
2021-02-04,9088.0,23771.0,Pfizer/BioNTech
2021-02-05,9552.0,30450.0,Pfizer/BioNTech
2021-02-06,9750.0,31146.0,Pfizer/BioNTech
2021-02-07,9736.0,31146.0,Pfizer/BioNTech
2021-02-08,9660.0,35032.0,Pfizer/BioNTech
2021-02-09,10035.0,42573.0,Pfizer/BioNTech
2021-02-10,10210.0,49082.0,Pfizer/BioNTech
2021-02-11,10083.0,55683.0,Pfizer/BioNTech
2021-02-12,9927.0,62076.0,Pfizer/BioNTech
2021-02-13,10089.0,62495.0,Pfizer/BioNTech
2021-02-14,11607.0,62700.0,Pfizer/BioNTech
2021-02-15,10003.0,62700.0,Pfizer/BioNTech
