date,daily_vaccinations,people_fully_vaccinated,vaccines
2020-12-13,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-14,83940.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-15,83940.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-16,83940.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-17,83940.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-18,83940.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-19,83940.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-20,83940.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-21,78666.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-22,73391.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-23,68117.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-24,62842.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-25,57568.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-26,52293.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-27,47019.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-28,48383.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-29,49747.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-30,51111.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-31,52475.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-01,53839.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-02,55203.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-03,56567.0,21905.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-04,74590.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-05,92612.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-06,110635.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-07,128657.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-08,146680.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-09,164702.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-10,182725.0,391399.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-11,180313.0,412167.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-12,186170.0,428232.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-13,201308.0,437977.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-14,221198.0,443234.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-15,241988.0,447261.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-16,255941.0,449736.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-17,262404.0,452301.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-18,268518.0,456866.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-19,286118.0,460625.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-20,297294.0,464036.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-21,310246.0,466796.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-22,331933.0,468617.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-23,362307.0,469660.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-24,361321.0,470478.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-25,371761.0,472446.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-26,366883.0,474156.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-27,359424.0,476485.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-28,359934.0,478254.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-29,361343.0,480432.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-30,377914.0,491053.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-31,392361.0,494209.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-01,402534.0,496796.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-02,411699.0,498962.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-03,434171.0,501957.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-04,443943.0,505993.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-05,445128.0,510057.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-06,436908.0,511719.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-07,430859.0,512581.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-08,431338.0,516392.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,436774.0,519553.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,434444.0,524447.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,437897.0,530094.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,445204.0,534869.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,439024.0,537715.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,433313.0,539630.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
