date,daily_vaccinations,people_fully_vaccinated,vaccines
2020-12-13,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-14,2223.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-15,2223.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-16,2223.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-17,2223.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-18,2223.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-19,2223.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-20,2223.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-21,2159.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-22,2095.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-23,2031.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-24,1968.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-25,1904.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-26,1840.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-27,1776.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-28,1811.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-29,1845.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-30,1879.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-31,1914.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-01,1948.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-02,1983.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-03,2017.0,26.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-04,2460.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-05,2902.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-06,3344.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-07,3787.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-08,4229.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-09,4672.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-10,5114.0,79.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-11,5129.0,97.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-12,5847.0,108.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-13,6776.0,121.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-14,7961.0,129.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-15,8442.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-16,8922.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-17,9403.0,201.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-18,10123.0,265.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-19,10672.0,370.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-20,11105.0,396.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-21,12318.0,415.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-22,15148.0,469.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-23,17371.0,516.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-24,17063.0,543.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-25,18279.0,581.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-26,19537.0,639.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-27,20845.0,674.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-28,21463.0,717.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-29,19705.0,750.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-30,19885.0,786.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-31,20824.0,841.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-01,21508.0,1066.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-02,21530.0,1160.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-03,22149.0,1216.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-04,23101.0,1635.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-05,25788.0,2471.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-06,26854.0,2606.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-07,27089.0,2792.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-08,27364.0,3491.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,27921.0,3687.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,28015.0,3795.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,27897.0,4010.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,27743.0,4224.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,26285.0,4573.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,26206.0,5402.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
