date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-01-10,,,Pfizer/BioNTech
2021-01-11,64.0,,Pfizer/BioNTech
2021-01-12,64.0,,Pfizer/BioNTech
2021-01-13,63.0,,Pfizer/BioNTech
2021-01-14,66.0,,Pfizer/BioNTech
2021-01-15,62.0,,Pfizer/BioNTech
2021-01-16,62.0,,Pfizer/BioNTech
2021-01-17,58.0,,Pfizer/BioNTech
2021-01-18,55.0,,Pfizer/BioNTech
2021-01-19,51.0,,Pfizer/BioNTech
2021-01-20,47.0,,Pfizer/BioNTech
2021-01-21,40.0,,Pfizer/BioNTech
2021-01-22,34.0,,Pfizer/BioNTech
2021-01-23,26.0,,Pfizer/BioNTech
2021-01-24,21.0,,Pfizer/BioNTech
2021-01-25,15.0,,Pfizer/BioNTech
2021-01-26,9.0,,Pfizer/BioNTech
2021-01-27,4.0,,Pfizer/BioNTech
2021-01-28,,,Pfizer/BioNTech
2021-01-29,,,Pfizer/BioNTech
2021-01-30,,,Pfizer/BioNTech
2021-01-31,,,Pfizer/BioNTech
2021-02-01,,,Pfizer/BioNTech
2021-02-02,,1.0,Pfizer/BioNTech
2021-02-03,12.0,,Pfizer/BioNTech
2021-02-04,24.0,,Pfizer/BioNTech
2021-02-05,35.0,,Pfizer/BioNTech
2021-02-06,47.0,,Pfizer/BioNTech
2021-02-07,59.0,,Pfizer/BioNTech
2021-02-08,71.0,,Pfizer/BioNTech
2021-02-09,82.0,438.0,Pfizer/BioNTech
