date,daily_vaccinations,people_fully_vaccinated,vaccines
2020-12-29,,,Sputnik V
2020-12-30,15656.0,,Sputnik V
2020-12-31,15656.0,,Sputnik V
2021-01-01,11070.0,,Sputnik V
2021-01-02,8776.0,,Sputnik V
2021-01-03,7400.0,,Sputnik V
2021-01-04,6483.0,,Sputnik V
2021-01-05,7984.0,,Sputnik V
2021-01-06,8173.0,,Sputnik V
2021-01-07,8363.0,,Sputnik V
2021-01-08,10519.0,,Sputnik V
2021-01-09,11942.0,,Sputnik V
2021-01-10,13365.0,,Sputnik V
2021-01-11,14788.0,,Sputnik V
2021-01-12,14056.0,,Sputnik V
2021-01-13,13323.0,,Sputnik V
2021-01-14,13320.0,,Sputnik V
2021-01-15,13317.0,,Sputnik V
2021-01-16,12971.0,,Sputnik V
2021-01-17,12624.0,,Sputnik V
2021-01-18,12278.0,,Sputnik V
2021-01-19,11932.0,,Sputnik V
2021-01-20,11586.0,4394.0,Sputnik V
2021-01-21,11704.0,16352.0,Sputnik V
2021-01-22,11263.0,25146.0,Sputnik V
2021-01-23,11124.0,29188.0,Sputnik V
2021-01-24,10342.0,31987.0,Sputnik V
2021-01-25,9046.0,32264.0,Sputnik V
2021-01-26,9626.0,38911.0,Sputnik V
2021-01-27,10014.0,45710.0,Sputnik V
2021-01-28,8896.0,51451.0,Sputnik V
2021-01-29,9205.0,65583.0,Sputnik V
2021-01-30,11189.0,85361.0,Sputnik V
2021-01-31,11299.0,,Sputnik V
2021-02-01,11924.0,94274.0,Sputnik V
2021-02-02,11475.0,,Sputnik V
2021-02-03,11218.0,112366.0,Sputnik V
2021-02-04,16574.0,146301.0,Sputnik V
2021-02-05,16238.0,,Sputnik V
2021-02-06,15000.0,163882.0,Sputnik V
2021-02-07,18576.0,181836.0,Sputnik V
2021-02-08,19390.0,189264.0,Sputnik V
2021-02-09,18139.0,190203.0,Sputnik V
2021-02-10,19820.0,197531.0,Sputnik V
2021-02-11,18416.0,210279.0,Sputnik V
2021-02-12,19133.0,223609.0,Sputnik V
2021-02-13,19266.0,234616.0,Sputnik V
2021-02-14,15493.0,237483.0,Sputnik V
2021-02-15,14030.0,237610.0,Sputnik V
