date,daily_vaccinations,people_fully_vaccinated
2021-01-10,,
2021-01-11,,
2021-01-12,,
2021-01-13,,
2021-01-14,6457.0,
2021-01-15,9243.0,
2021-01-16,9134.0,
2021-01-17,8678.0,
2021-01-18,9673.0,304.0
2021-01-19,10876.0,1034.0
2021-01-20,15156.0,2007.0
2021-01-21,15108.0,3214.0
2021-01-22,13746.0,3540.0
2021-01-23,13233.0,4243.0
2021-01-24,12773.0,4289.0
2021-01-25,12601.0,4306.0
2021-01-26,12888.0,4346.0
2021-01-27,9199.0,5126.0
2021-01-28,6464.0,5633.0
2021-01-29,6455.0,7157.0
2021-01-30,7421.0,13551.0
2021-01-31,7625.0,15207.0
2021-02-01,7232.0,15866.0
2021-02-02,7665.0,19062.0
2021-02-03,8708.0,28233.0
2021-02-04,9141.0,39329.0
2021-02-05,9793.0,50669.0
2021-02-06,9133.0,62123.0
2021-02-07,9309.0,66621.0
2021-02-08,10056.0,71135.0
2021-02-09,9995.0,78852.0
2021-02-10,11025.0,90983.0
2021-02-11,11570.0,106450.0
2021-02-12,12569.0,122349.0
2021-02-13,12027.0,136564.0
2021-02-14,12011.0,141922.0
2021-02-15,14970.0,143889.0
2021-02-16,15262.0,151477.0
2021-02-17,16422.0,160094.0
2021-02-18,17566.0,174350.0
2021-02-19,17353.0,184366.0
2021-02-20,18530.0,193620.0
2021-02-21,19147.0,195539.0
2021-02-22,16622.0,197941.0
2021-02-23,14469.0,201848.0
