date,daily_vaccinations,people_fully_vaccinated,vaccines
2020-12-28,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-29,1.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-30,240.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2020-12-31,163.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-01,124.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-02,99.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-03,83.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-04,71.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-05,296.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-06,780.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-07,1939.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-08,3246.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-09,3701.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-10,3757.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-11,4536.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-12,6517.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-13,8921.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-14,10986.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-15,12931.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-16,13193.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-17,13595.0,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-18,14349.0,109.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-19,14858.0,290.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-20,14830.0,712.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-21,15830.0,712.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-22,16708.0,743.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-23,17118.0,750.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-24,16924.0,750.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-25,16948.0,750.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-26,15888.0,2225.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-27,15231.0,5330.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-28,14119.0,12364.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-29,12720.0,20320.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-30,12223.0,23097.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-31,12087.0,23425.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-01,11545.0,26911.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-02,13027.0,39465.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-03,14687.0,57925.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-04,15956.0,80039.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-05,17200.0,100770.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-06,17441.0,105671.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-07,17730.0,108284.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-08,17985.0,114948.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,18346.0,132350.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,17488.0,148363.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,16884.0,168453.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,15922.0,185587.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,15668.0,189649.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,15349.0,190324.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
