date,daily_vaccinations,people_fully_vaccinated
2020-12-27,,
2020-12-28,1982.0,
2020-12-29,5458.0,
2020-12-30,7457.0,
2020-12-31,7137.0,
2021-01-01,6176.0,
2021-01-02,6623.0,
2021-01-03,6535.0,
2021-01-04,6595.0,
2021-01-05,7249.0,
2021-01-06,8435.0,
2021-01-07,10053.0,
2021-01-08,10931.0,
2021-01-09,9937.0,
2021-01-10,9195.0,
2021-01-11,8946.0,
2021-01-12,7082.0,
2021-01-13,6079.0,
2021-01-14,6139.0,
2021-01-15,7104.0,5.0
2021-01-16,7492.0,12.0
2021-01-17,7841.0,728.0
2021-01-18,8608.0,2867.0
2021-01-19,9197.0,4961.0
2021-01-20,7864.0,6855.0
2021-01-21,5858.0,9212.0
2021-01-22,4587.0,14888.0
2021-01-23,5063.0,22051.0
2021-01-24,5624.0,28618.0
2021-01-25,5150.0,31074.0
2021-01-26,4776.0,32827.0
2021-01-27,4944.0,37196.0
2021-01-28,5584.0,45317.0
2021-01-29,7461.0,63664.0
2021-01-30,8362.0,76691.0
2021-01-31,9279.0,89028.0
2021-02-01,10126.0,96915.0
2021-02-02,10570.0,99945.0
2021-02-03,11022.0,106135.0
2021-02-04,11594.0,117065.0
2021-02-05,10965.0,130561.0
2021-02-06,10033.0,137256.0
2021-02-07,8884.0,140900.0
2021-02-08,9023.0,147962.0
2021-02-09,9507.0,152880.0
2021-02-10,9430.0,156804.0
2021-02-11,8821.0,159261.0
2021-02-12,9467.0,166860.0
2021-02-13,9439.0,167840.0
2021-02-14,9624.0,168471.0
2021-02-15,10670.0,171601.0
2021-02-16,11532.0,172928.0
2021-02-17,12058.0,173351.0
2021-02-18,12575.0,173653.0
2021-02-19,11899.0,174617.0
2021-02-20,12406.0,175194.0
2021-02-21,13021.0,175545.0
2021-02-22,12686.0,176629.0
