date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-01-29,,1.0,Pfizer/BioNTech
2021-01-30,83.0,,Pfizer/BioNTech
2021-01-31,83.0,,Pfizer/BioNTech
2021-02-01,83.0,,Pfizer/BioNTech
2021-02-02,83.0,,Pfizer/BioNTech
2021-02-03,83.0,,Pfizer/BioNTech
2021-02-04,83.0,,Pfizer/BioNTech
2021-02-05,83.0,,Pfizer/BioNTech
2021-02-06,83.0,606.0,Pfizer/BioNTech
2021-02-07,80.0,,Pfizer/BioNTech
2021-02-08,77.0,685.0,Pfizer/BioNTech
2021-02-09,106.0,,Pfizer/BioNTech
2021-02-10,135.0,1221.0,Pfizer/BioNTech
