date,daily_vaccinations,people_fully_vaccinated
2020-12-27,,
2020-12-28,18746.0,
2020-12-29,30663.0,
2020-12-30,39738.0,
2020-12-31,39420.0,
2021-01-01,36458.0,
2021-01-02,38953.0,
2021-01-03,36994.0,
2021-01-04,41243.0,
2021-01-05,42644.0,
2021-01-06,42759.0,
2021-01-07,45607.0,
2021-01-08,50680.0,
2021-01-09,51505.0,
2021-01-10,52655.0,
2021-01-11,55100.0,
2021-01-12,59332.0,
2021-01-13,65090.0,
2021-01-14,71048.0,115.0
2021-01-15,75709.0,544.0
2021-01-16,75699.0,942.0
2021-01-17,77302.0,14553.0
2021-01-18,78532.0,30963.0
2021-01-19,80326.0,57986.0
2021-01-20,84513.0,108529.0
2021-01-21,83809.0,143441.0
2021-01-22,86883.0,173993.0
2021-01-23,91813.0,216916.0
2021-01-24,94857.0,244838.0
2021-01-25,98099.0,284142.0
2021-01-26,99248.0,333529.0
2021-01-27,96966.0,391951.0
2021-01-28,97689.0,440638.0
2021-01-29,97028.0,493735.0
2021-01-30,96154.0,540704.0
2021-01-31,95668.0,571837.0
2021-02-01,98133.0,637117.0
2021-02-02,101481.0,706419.0
2021-02-03,105516.0,790545.0
2021-02-04,110346.0,862594.0
2021-02-05,113383.0,934846.0
2021-02-06,115899.0,989934.0
2021-02-07,115435.0,1016411.0
2021-02-08,114445.0,1067930.0
2021-02-09,114169.0,1132296.0
2021-02-10,115189.0,1205129.0
2021-02-11,116497.0,1277446.0
2021-02-12,120258.0,1355269.0
2021-02-13,121159.0,1401698.0
2021-02-14,122176.0,1428463.0
2021-02-15,124903.0,1484214.0
2021-02-16,126572.0,1538819.0
2021-02-17,126593.0,1593184.0
2021-02-18,126597.0,1645050.0
2021-02-19,125233.0,1698098.0
2021-02-20,125523.0,1735338.0
2021-02-21,128260.0,1764309.0
2021-02-22,130657.0,1810725.0
2021-02-23,131705.0,1854928.0
