date,daily_vaccinations,people_fully_vaccinated
2021-01-10,,
2021-01-11,1025.0,
2021-01-12,1040.0,
2021-01-13,986.0,
2021-01-14,959.0,
2021-01-15,943.0,
2021-01-16,904.0,
2021-01-17,775.0,
2021-01-18,713.0,
2021-01-19,645.0,
2021-01-20,520.0,
2021-01-21,527.0,
2021-01-22,535.0,
2021-01-23,566.0,
2021-01-24,642.0,
2021-01-25,586.0,
2021-01-26,579.0,
2021-01-27,656.0,
2021-01-28,626.0,
2021-01-29,570.0,
2021-01-30,437.0,
2021-01-31,421.0,400.0
2021-02-01,537.0,1325.0
2021-02-02,617.0,2320.0
2021-02-03,653.0,3011.0
2021-02-04,694.0,3943.0
2021-02-05,773.0,4876.0
2021-02-06,887.0,5573.0
2021-02-07,827.0,5573.0
2021-02-08,821.0,6140.0
2021-02-09,804.0,6719.0
2021-02-10,832.0,6737.0
2021-02-11,845.0,7667.0
2021-02-12,846.0,8595.0
2021-02-13,888.0,9522.0
2021-02-14,981.0,10053.0
2021-02-15,905.0,10244.0
2021-02-16,859.0,10772.0
2021-02-17,813.0,11303.0
2021-02-18,811.0,12053.0
2021-02-19,734.0,12573.0
2021-02-20,578.0,12573.0
2021-02-21,642.0,12606.0
2021-02-22,750.0,12729.0
