date,daily_vaccinations,people_fully_vaccinated
2020-12-13,0.0,0.0
2020-12-14,167881.0,0.0
2020-12-15,167881.0,0.0
2020-12-16,358738.0,0.0
2020-12-17,358738.0,0.0
2020-12-18,358738.0,0.0
2020-12-19,358738.0,0.0
2020-12-20,366089.0,0.0
2020-12-21,422205.0,0.0
2020-12-22,490678.0,0.0
2020-12-23,523156.0,0.0
2020-12-24,584035.0,0.0
2020-12-25,607292.0,0.0
2020-12-26,618404.0,0.0
2020-12-27,609498.0,0.0
2020-12-28,671805.0,0.0
2020-12-29,757996.0,0.0
2020-12-30,836742.0,0.0
2020-12-31,873536.0,0.0
2021-01-01,934825.0,0.0
2021-01-02,1012764.0,0.0
2021-01-03,1067487.0,43827.0
2021-01-04,1175069.0,2.0
2021-01-05,1318456.0,2.0
2021-01-06,1444642.0,2.0
2021-01-07,1609011.0,6.0
2021-01-08,1722816.0,11.0
2021-01-09,1808788.0,3650.0
2021-01-10,1891340.0,1038879.0
2021-01-11,1942619.0,849572.0
2021-01-12,1952017.0,917285.0
2021-01-13,2096084.0,994408.0
2021-01-14,2564994.0,2420591.0
2021-01-15,2782908.0,2734536.0
2021-01-16,3005162.0,1182463.0
2021-01-17,3002883.0,1270801.0
2021-01-18,3177685.0,1441535.0
2021-01-19,3411904.0,3674163.0
2021-01-20,3493435.0,4064540.0
2021-01-21,3640475.0,4598905.0
2021-01-22,3805757.0,5128703.0
2021-01-23,4032747.0,5543525.0
2021-01-24,4178721.0,5981182.0
2021-01-25,4308112.0,6481746.0
2021-01-26,4369131.0,7045484.0
2021-01-27,4557233.0,7720822.0
2021-01-28,4597119.0,8620229.0
2021-01-29,4635054.0,9252408.0
2021-01-30,4643306.0,10131207.0
2021-01-31,4604339.0,10974228.0
2021-02-01,4832641.0,11723112.0
2021-02-02,5008819.0,12115047.0
2021-02-03,5237487.0,13245914.0
2021-02-04,5489340.0,14375381.0
2021-02-05,5603148.0,14567422.0
2021-02-06,5850766.0,15917274.0
2021-02-07,6092876.0,17585024.0
2021-02-08,6037724.0,18028872.0
2021-02-09,6043927.0,19390622.0
2021-02-10,4546070.0,21798361.0
2021-02-11,4450435.0,22097097.0
2021-02-12,4714945.0,22297333.0
2021-02-13,4793876.0,24101382.0
2021-02-14,4769998.0,25916204.0
2021-02-15,1868502.0,6790959.0
