date,daily_vaccinations,people_fully_vaccinated
2020-12-28,,
2020-12-29,630.0,
2020-12-30,638.0,
2020-12-31,631.0,
2021-01-01,539.0,
2021-01-02,540.0,
2021-01-03,570.0,
2021-01-04,1411.0,
2021-01-05,2222.0,
2021-01-06,2699.0,
2021-01-07,3444.0,
2021-01-08,4667.0,
2021-01-09,5325.0,
2021-01-10,5825.0,
2021-01-11,5674.0,
2021-01-12,5692.0,
2021-01-13,6331.0,
2021-01-14,6359.0,
2021-01-15,5734.0,
2021-01-16,5709.0,2.0
2021-01-17,5500.0,
2021-01-18,5122.0,423.0
2021-01-19,5426.0,1072.0
2021-01-20,6414.0,1664.0
2021-01-21,7853.0,2261.0
2021-01-22,9781.0,2579.0
2021-01-23,11387.0,3135.0
2021-01-24,12412.0,
2021-01-25,13436.0,8061.0
2021-01-26,14757.0,13145.0
2021-01-27,15173.0,17879.0
2021-01-28,15480.0,23797.0
2021-01-29,15641.0,32742.0
2021-01-30,15884.0,38888.0
2021-01-31,16075.0,
2021-02-01,16267.0,46566.0
2021-02-02,16839.0,54085.0
2021-02-03,17440.0,62019.0
2021-02-04,17920.0,68464.0
2021-02-05,18110.0,73695.0
2021-02-06,18081.0,79760.0
2021-02-07,17880.0,
2021-02-08,17678.0,84753.0
2021-02-09,17463.0,92582.0
2021-02-10,17345.0,106123.0
2021-02-11,17528.0,121616.0
2021-02-12,17986.0,139289.0
2021-02-13,18359.0,154907.0
2021-02-14,18978.0,
2021-02-15,19597.0,168696.0
2021-02-16,19699.0,177926.0
2021-02-17,20590.0,190697.0
2021-02-18,21660.0,203913.0
2021-02-19,22616.0,215274.0
2021-02-20,23867.0,227594.0
2021-02-21,22384.0,229589.0
2021-02-22,25095.0,243590.0
2021-02-23,26694.0,257476.0
