date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-01-15,,,"Covaxin, Oxford/AstraZeneca"
2021-01-16,191181.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-17,112150.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-18,151350.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-19,168709.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-20,161297.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-21,173922.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-22,198656.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-23,198717.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-24,198743.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-25,224251.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-26,193521.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-27,221356.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-28,269217.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-29,301348.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-30,308876.0,,"Covaxin, Oxford/AstraZeneca"
2021-01-31,306191.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-01,275192.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-02,301348.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-03,299082.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-04,290199.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-05,273832.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-06,290141.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-07,293360.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-08,329836.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-09,353235.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-10,366795.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-11,363652.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-12,364400.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-13,355505.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-14,353276.0,,"Covaxin, Oxford/AstraZeneca"
2021-02-15,351688.0,,"Covaxin, Oxford/AstraZeneca"
