date,daily_vaccinations,people_fully_vaccinated
2021-01-12,,
2021-01-13,13200.0,
2021-01-14,13200.0,
2021-01-15,13200.0,
2021-01-16,13200.0,
2021-01-17,13200.0,
2021-01-18,13200.0,
2021-01-19,13200.0,
2021-01-20,13200.0,
2021-01-21,13200.0,
2021-01-22,13200.0,
2021-01-23,12546.0,
2021-01-24,11892.0,
2021-01-25,11823.0,
2021-01-26,21898.0,
2021-01-27,28915.0,
2021-01-28,36427.0,5468.0
2021-01-29,40614.0,11287.0
2021-01-30,51762.0,20810.0
2021-01-31,52348.0,22548.0
2021-02-01,58997.0,35406.0
2021-02-02,57511.0,51999.0
2021-02-03,58521.0,71621.0
2021-02-04,60433.0,96553.0
2021-02-05,64187.0,120725.0
2021-02-06,58764.0,137207.0
2021-02-07,58253.0,139131.0
2021-02-08,58702.0,171270.0
2021-02-09,59800.0,221453.0
2021-02-10,75879.0,279251.0
2021-02-11,80853.0,345605.0
2021-02-12,79099.0,
2021-02-13,80216.0,415486.0
2021-02-14,81554.0,425578.0
2021-02-15,84695.0,482625.0
2021-02-16,84464.0,537147.0
2021-02-17,71210.0,597328.0
2021-02-18,60741.0,623832.0
2021-02-19,64721.0,
2021-02-20,68702.0,732634.0
2021-02-21,70969.0,
2021-02-22,63824.0,
2021-02-23,57394.0,789966.0
