date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-01-21,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-22,90.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-23,138.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-24,155.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-25,163.0,312.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-26,266.0,639.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-27,338.0,1037.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-28,389.0,1038.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-29,459.0,1030.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-30,484.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-01-31,508.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-01,533.0,,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-02,488.0,1419.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-03,568.0,2176.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-04,562.0,2183.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-05,481.0,2183.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-06,519.0,2183.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-07,524.0,2184.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-08,530.0,2188.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-09,532.0,2557.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-10,411.0,2956.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,372.0,3328.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,370.0,3328.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,378.0,3327.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,355.0,3328.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
