date,daily_vaccinations,people_fully_vaccinated
2020-12-19,,
2020-12-20,7364.0,
2020-12-21,16124.0,
2020-12-22,25630.0,
2020-12-23,34966.0,
2020-12-24,42686.0,
2020-12-25,42030.0,
2020-12-26,40720.0,
2020-12-27,54691.0,
2020-12-28,70538.0,
2020-12-29,86637.0,
2020-12-30,99677.0,
2020-12-31,111964.0,
2021-01-01,116730.0,
2021-01-02,122378.0,
2021-01-03,128926.0,
2021-01-04,131380.0,2.0
2021-01-05,127002.0,2.0
2021-01-06,119929.0,2.0
2021-01-07,113905.0,5.0
2021-01-08,113193.0,8.0
2021-01-09,109280.0,30.0
2021-01-10,94010.0,6010.0
2021-01-11,77962.0,25240.0
2021-01-12,68419.0,60871.0
2021-01-13,69070.0,117759.0
2021-01-14,70247.0,186630.0
2021-01-15,70245.0,222752.0
2021-01-16,71798.0,248936.0
2021-01-17,87345.0,333491.0
2021-01-18,108600.0,453426.0
2021-01-19,130018.0,590674.0
2021-01-20,145776.0,733804.0
2021-01-21,161120.0,897364.0
2021-01-22,167028.0,968154.0
2021-01-23,172359.0,1021550.0
2021-01-24,180363.0,1161619.0
2021-01-25,184665.0,1300517.0
2021-01-26,183860.0,1426270.0
2021-01-27,181337.0,1550679.0
2021-01-28,177947.0,1680685.0
2021-01-29,176875.0,1745184.0
2021-01-30,174538.0,1787795.0
2021-01-31,163585.0,1847014.0
2021-02-01,148973.0,1882175.0
2021-02-02,134172.0,1913034.0
2021-02-03,121176.0,1964107.0
2021-02-04,109810.0,2021793.0
2021-02-05,104283.0,2050397.0
2021-02-06,99533.0,2072494.0
2021-02-07,98085.0,2140607.0
2021-02-08,98958.0,2205382.0
2021-02-09,103587.0,2272203.0
2021-02-10,107998.0,2343933.0
2021-02-11,111116.0,2415191.0
2021-02-12,113099.0,2452523.0
2021-02-13,115104.0,2482793.0
2021-02-14,118075.0,2551469.0
2021-02-15,122779.0,2626718.0
2021-02-16,126660.0,2703734.0
2021-02-17,125767.0,2777825.0
2021-02-18,125217.0,2856824.0
2021-02-19,125371.0,2894625.0
2021-02-20,125687.0,2922975.0
2021-02-21,127685.0,3000922.0
2021-02-22,128264.0,3076740.0
2021-02-23,126332.0,3146509.0
