date,daily_vaccinations,people_fully_vaccinated
2020-12-28,,
2020-12-29,,
2020-12-30,,
2021-01-04,,
2021-01-05,,
2021-01-06,,
2021-01-07,,
2021-01-08,,
2021-01-09,,
2021-01-10,,
2021-01-11,,
2021-01-12,,
2021-01-13,,
2021-01-14,,
2021-01-15,,
2021-01-16,,
2021-01-17,,
2021-01-18,,571.0
2021-01-19,125.0,1375.0
2021-01-20,235.0,2126.0
2021-01-21,275.0,2139.0
2021-01-22,306.0,2156.0
2021-01-23,343.0,
2021-01-24,381.0,
2021-01-25,419.0,2804.0
2021-01-26,415.0,3622.0
2021-01-27,422.0,4359.0
2021-01-28,493.0,5109.0
2021-01-29,600.0,6019.0
2021-01-30,606.0,6323.0
2021-01-31,677.0,6657.0
2021-02-01,748.0,7830.0
2021-02-02,885.0,9503.0
2021-02-03,999.0,10882.0
2021-02-04,1103.0,12245.0
2021-02-05,1204.0,13751.0
2021-02-06,1240.0,14308.0
2021-02-07,1150.0,14431.0
2021-02-08,1100.0,14587.0
2021-02-09,868.0,14630.0
2021-02-10,726.0,14827.0
2021-02-11,765.0,15507.0
2021-02-12,773.0,16061.0
2021-02-13,749.0,16237.0
2021-02-14,734.0,16257.0
2021-02-15,800.0,16411.0
2021-02-16,969.0,16478.0
2021-02-17,1165.0,16656.0
2021-02-18,1131.0,16709.0
2021-02-19,1072.0,16764.0
2021-02-20,1125.0,16782.0
2021-02-21,1299.0,
2021-02-22,1351.0,16813.0
2021-02-23,1458.0,16844.0
