date,daily_vaccinations,people_fully_vaccinated
2020-12-27,,
2020-12-28,2785.0,
2020-12-29,2886.0,
2020-12-30,2435.0,
2020-12-31,1832.0,
2021-01-01,1491.0,
2021-01-02,1263.0,
2021-01-03,1100.0,
2021-01-04,720.0,
2021-01-05,311.0,
2021-01-06,592.0,
2021-01-07,1182.0,
2021-01-08,1903.0,
2021-01-09,1928.0,
2021-01-10,1911.0,
2021-01-11,2208.0,
2021-01-12,2489.0,
2021-01-13,2867.0,
2021-01-14,3506.0,
2021-01-15,3805.0,
2021-01-16,3918.0,
2021-01-17,4079.0,1089.0
2021-01-18,4407.0,2762.0
2021-01-19,5007.0,6671.0
2021-01-20,4624.0,8503.0
2021-01-21,3613.0,9140.0
2021-01-22,2632.0,9210.0
2021-01-23,2476.0,9210.0
2021-01-24,2322.0,
2021-01-25,1687.0,9210.0
2021-01-26,1232.0,9840.0
2021-01-27,1721.0,12894.0
2021-01-28,2509.0,16580.0
2021-01-29,3601.0,21642.0
2021-01-30,3690.0,22075.0
2021-01-31,3683.0,22075.0
2021-02-01,4088.0,23906.0
2021-02-02,4197.0,26110.0
2021-02-03,4164.0,31151.0
2021-02-04,4550.0,39391.0
2021-02-05,4434.0,45654.0
2021-02-06,4448.0,46310.0
2021-02-07,4461.0,46404.0
2021-02-08,4428.0,48825.0
2021-02-09,4283.0,50594.0
2021-02-10,4200.0,52216.0
2021-02-11,4089.0,53520.0
2021-02-12,4093.0,54497.0
2021-02-13,4053.0,54497.0
2021-02-14,4370.0,
2021-02-15,4321.0,55190.0
2021-02-16,3990.0,55400.0
2021-02-17,4279.0,59176.0
2021-02-18,4581.0,63852.0
2021-02-19,5014.0,67125.0
2021-02-20,5095.0,67187.0
2021-02-21,5144.0,
2021-02-22,5194.0,68740.0
2021-02-23,6284.0,69845.0
