date,daily_vaccinations,people_fully_vaccinated
2021-01-17,,
2021-01-18,1297.0,
2021-01-19,1286.0,
2021-01-20,1204.0,
2021-01-21,1206.0,
2021-01-22,1212.0,
2021-01-23,1204.0,
2021-01-24,1182.0,1198.0
2021-01-25,1167.0,1463.0
2021-01-26,1156.0,1694.0
2021-01-27,1171.0,2095.0
2021-01-28,1164.0,2518.0
2021-01-29,1151.0,2969.0
2021-01-30,1131.0,3456.0
2021-01-31,1111.0,3948.0
2021-02-01,1119.0,4476.0
2021-02-02,1126.0,4891.0
2021-02-03,1160.0,5410.0
2021-02-04,1257.0,6457.0
2021-02-05,1408.0,7594.0
2021-02-06,1534.0,8749.0
2021-02-07,1643.0,9918.0
2021-02-08,1755.0,11050.0
2021-02-09,1869.0,12135.0
2021-02-10,1852.0,12928.0
2021-02-11,1838.0,13820.0
2021-02-12,1828.0,14739.0
2021-02-13,1798.0,15601.0
2021-02-14,1769.0,16265.0
2021-02-15,1766.0,17102.0
2021-02-16,1767.0,17843.0
2021-02-17,1869.0,18536.0
2021-02-18,1908.0,19199.0
2021-02-19,1941.0,19828.0
2021-02-20,1876.0,20189.0
2021-02-21,1825.0,20531.0
2021-02-22,1812.0,21160.0
