date,daily_vaccinations,people_fully_vaccinated
2020-12-24,,
2020-12-25,1300.0,
2020-12-26,1300.0,
2020-12-27,1300.0,
2020-12-28,1664.0,
2020-12-29,3121.0,
2020-12-30,3679.0,
2020-12-31,3695.0,
2021-01-01,4051.0,
2021-01-02,4407.0,
2021-01-03,4763.0,
2021-01-04,4912.0,
2021-01-05,4244.0,
2021-01-06,4027.0,
2021-01-07,4230.0,
2021-01-08,4984.0,
2021-01-09,5488.0,
2021-01-10,5876.0,
2021-01-11,6157.0,
2021-01-12,6378.0,
2021-01-13,19912.0,
2021-01-14,38797.0,
2021-01-15,49987.0,1958.0
2021-01-16,55493.0,2221.0
2021-01-17,55835.0,3434.0
2021-01-18,57924.0,6546.0
2021-01-19,57892.0,9609.0
2021-01-20,44066.0,11402.0
2021-01-21,31765.0,18018.0
2021-01-22,28205.0,20083.0
2021-01-23,22217.0,22472.0
2021-01-24,22498.0,25185.0
2021-01-25,21797.0,28715.0
2021-01-26,22028.0,31314.0
2021-01-27,22145.0,31314.0
2021-01-28,15072.0,31314.0
2021-01-29,6773.0,31397.0
2021-01-30,7363.0,39009.0
2021-01-31,6243.0,41842.0
2021-02-01,4300.0,43455.0
2021-02-02,3603.0,45748.0
2021-02-03,4365.0,54162.0
2021-02-04,5321.0,60742.0
2021-02-05,5443.0,64246.0
2021-02-06,5699.0,73100.0
2021-02-07,5741.0,75836.0
2021-02-08,6088.0,79429.0
2021-02-09,6687.0,84218.0
2021-02-10,5444.0,84592.0
2021-02-11,4337.0,85332.0
2021-02-12,3669.0,85887.0
2021-02-13,2302.0,86188.0
2021-02-14,3497.0,
2021-02-15,4552.0,86198.0
2021-02-16,27291.0,86198.0
2021-02-17,47633.0,99666.0
2021-02-18,84658.0,
2021-02-19,121165.0,418931.0
2021-02-20,132856.0,445418.0
2021-02-21,135880.0,453055.0
2021-02-22,140532.0,456217.0
2021-02-23,126539.0,464302.0
