date,daily_vaccinations,people_fully_vaccinated
2020-12-27,,
2020-12-28,602.0,
2020-12-29,834.0,
2020-12-30,698.0,
2020-12-31,541.0,
2021-01-01,434.0,
2021-01-02,362.0,
2021-01-03,311.0,
2021-01-04,225.0,
2021-01-05,556.0,
2021-01-06,1790.0,
2021-01-07,2719.0,
2021-01-08,2949.0,
2021-01-09,2968.0,
2021-01-10,2983.0,
2021-01-11,3032.0,
2021-01-12,3157.0,
2021-01-13,3259.0,
2021-01-14,3529.0,
2021-01-15,3937.0,
2021-01-16,4024.0,
2021-01-17,4058.0,5.0
2021-01-18,4232.0,288.0
2021-01-19,4388.0,1059.0
2021-01-20,4524.0,1752.0
2021-01-21,4543.0,1920.0
2021-01-22,4377.0,1927.0
2021-01-23,4321.0,1927.0
2021-01-24,4281.0,1927.0
2021-01-25,4139.0,1927.0
2021-01-26,4003.0,4056.0
2021-01-27,5163.0,11563.0
2021-01-28,6422.0,18105.0
2021-01-29,6789.0,20192.0
2021-01-30,6782.0,20362.0
2021-01-31,6791.0,20412.0
2021-02-01,6777.0,20710.0
2021-02-02,7497.0,23845.0
2021-02-03,9533.0,32140.0
2021-02-04,11951.0,40717.0
2021-02-05,13304.0,45537.0
2021-02-06,13480.0,46271.0
2021-02-07,13549.0,46565.0
2021-02-08,13629.0,47487.0
2021-02-09,13527.0,50719.0
2021-02-10,13261.0,59288.0
2021-02-11,12524.0,67793.0
2021-02-12,11980.0,71362.0
2021-02-13,11918.0,71665.0
2021-02-14,11846.0,71667.0
2021-02-15,11918.0,72414.0
2021-02-16,11808.0,74509.0
2021-02-17,11758.0,84362.0
2021-02-18,11644.0,94764.0
2021-02-19,12070.0,99220.0
2021-02-20,11952.0,99362.0
2021-02-21,11956.0,99444.0
2021-02-22,12083.0,99578.0
