date,daily_vaccinations,people_fully_vaccinated,vaccines
2020-12-28,,,"Moderna, Pfizer/BioNTech"
2020-12-29,11873.0,,"Moderna, Pfizer/BioNTech"
2020-12-30,11011.0,,"Moderna, Pfizer/BioNTech"
2020-12-31,7770.0,,"Moderna, Pfizer/BioNTech"
2021-01-01,6149.0,,"Moderna, Pfizer/BioNTech"
2021-01-02,5177.0,,"Moderna, Pfizer/BioNTech"
2021-01-03,4529.0,,"Moderna, Pfizer/BioNTech"
2021-01-04,4360.0,,"Moderna, Pfizer/BioNTech"
2021-01-05,3141.0,,"Moderna, Pfizer/BioNTech"
2021-01-06,2169.0,,"Moderna, Pfizer/BioNTech"
2021-01-07,3983.0,,"Moderna, Pfizer/BioNTech"
2021-01-08,5796.0,,"Moderna, Pfizer/BioNTech"
2021-01-09,6347.0,,"Moderna, Pfizer/BioNTech"
2021-01-10,6898.0,,"Moderna, Pfizer/BioNTech"
2021-01-11,7155.0,,"Moderna, Pfizer/BioNTech"
2021-01-12,7412.0,,"Moderna, Pfizer/BioNTech"
2021-01-13,7668.0,,"Moderna, Pfizer/BioNTech"
2021-01-14,6406.0,,"Moderna, Pfizer/BioNTech"
2021-01-15,5143.0,,"Moderna, Pfizer/BioNTech"
2021-01-16,6571.0,,"Moderna, Pfizer/BioNTech"
2021-01-17,8000.0,,"Moderna, Pfizer/BioNTech"
2021-01-18,9429.0,,"Moderna, Pfizer/BioNTech"
2021-01-19,10857.0,,"Moderna, Pfizer/BioNTech"
2021-01-20,12286.0,,"Moderna, Pfizer/BioNTech"
2021-01-21,13714.0,,"Moderna, Pfizer/BioNTech"
2021-01-22,15143.0,,"Moderna, Pfizer/BioNTech"
2021-01-23,15940.0,,"Moderna, Pfizer/BioNTech"
2021-01-24,15242.0,,"Moderna, Pfizer/BioNTech"
2021-01-25,14545.0,,"Moderna, Pfizer/BioNTech"
2021-01-26,13847.0,38000.0,"Moderna, Pfizer/BioNTech"
2021-01-27,13814.0,,"Moderna, Pfizer/BioNTech"
2021-01-28,14164.0,,"Moderna, Pfizer/BioNTech"
2021-01-29,14820.0,,"Moderna, Pfizer/BioNTech"
2021-01-30,13930.0,,"Moderna, Pfizer/BioNTech"
2021-01-31,13398.0,68385.0,"Moderna, Pfizer/BioNTech"
2021-02-01,12189.0,68755.0,"Moderna, Pfizer/BioNTech"
2021-02-02,11608.0,,"Moderna, Pfizer/BioNTech"
2021-02-03,10362.0,75852.0,"Moderna, Pfizer/BioNTech"
2021-02-04,9744.0,84975.0,"Moderna, Pfizer/BioNTech"
2021-02-05,8008.0,,"Moderna, Pfizer/BioNTech"
2021-02-06,7021.0,94916.0,"Moderna, Pfizer/BioNTech"
2021-02-07,8188.0,103786.0,"Moderna, Pfizer/BioNTech"
2021-02-08,8191.0,104526.0,"Moderna, Pfizer/BioNTech"
2021-02-09,7374.0,104613.0,"Moderna, Pfizer/BioNTech"
2021-02-10,7035.0,106055.0,"Moderna, Pfizer/BioNTech"
2021-02-11,10287.0,133078.0,"Moderna, Pfizer/BioNTech"
2021-02-12,13789.0,157604.0,"Moderna, Pfizer/BioNTech"
2021-02-13,17999.0,184694.0,"Moderna, Pfizer/BioNTech"
2021-02-14,18466.0,194530.0,"Moderna, Pfizer/BioNTech"
2021-02-15,19017.0,197700.0,"Moderna, Pfizer/BioNTech"
