date,daily_vaccinations,people_fully_vaccinated
2020-12-13,,
2020-12-14,5875.0,
2020-12-15,5875.0,
2020-12-16,5875.0,
2020-12-17,5875.0,
2020-12-18,5875.0,
2020-12-19,5875.0,
2020-12-20,5875.0,
2020-12-21,5738.0,
2020-12-22,5601.0,
2020-12-23,5463.0,
2020-12-24,5326.0,
2020-12-25,5189.0,
2020-12-26,5052.0,
2020-12-27,4915.0,
2020-12-28,4649.0,
2020-12-29,4383.0,
2020-12-30,4117.0,
2020-12-31,3850.0,
2021-01-01,3584.0,
2021-01-02,3318.0,
2021-01-03,3052.0,43.0
2021-01-04,3642.0,
2021-01-05,4231.0,
2021-01-06,4821.0,
2021-01-07,5410.0,
2021-01-08,6000.0,
2021-01-09,6589.0,
2021-01-10,7178.0,2758.0
2021-01-11,7962.0,2857.0
2021-01-12,9245.0,2990.0
2021-01-13,10568.0,3190.0
2021-01-14,11939.0,3331.0
2021-01-15,13380.0,3512.0
2021-01-16,14977.0,3657.0
2021-01-17,14651.0,3698.0
2021-01-18,15667.0,3886.0
2021-01-19,17018.0,4170.0
2021-01-20,18277.0,4466.0
2021-01-21,19282.0,4689.0
2021-01-22,20060.0,5188.0
2021-01-23,20803.0,5383.0
2021-01-24,21750.0,5538.0
2021-01-25,22213.0,6060.0
2021-01-26,22087.0,6596.0
2021-01-27,22729.0,6783.0
2021-01-28,22830.0,7095.0
2021-01-29,23593.0,7638.0
2021-01-30,23520.0,7794.0
2021-01-31,23258.0,7849.0
2021-02-01,25023.0,8345.0
2021-02-02,27047.0,8758.0
2021-02-03,29277.0,9031.0
2021-02-04,32727.0,9529.0
2021-02-05,35107.0,10332.0
2021-02-06,39398.0,10582.0
2021-02-07,41967.0,10690.0
2021-02-08,45894.0,12257.0
2021-02-09,48631.0,12866.0
2021-02-10,51223.0,13195.0
2021-02-11,53593.0,13566.0
2021-02-12,55814.0,14009.0
2021-02-13,55458.0,14281.0
2021-02-14,56025.0,14501.0
2021-02-15,52109.0,17137.0
2021-02-16,48864.0,20409.0
2021-02-17,45313.0,24169.0
2021-02-18,41139.0,29015.0
2021-02-19,36952.0,33473.0
2021-02-20,32767.0,35479.0
2021-02-21,30448.0,37342.0
2021-02-22,29043.0,43203.0
