date,daily_vaccinations,people_fully_vaccinated,vaccines
2021-01-28,,,Oxford/AstraZeneca
2021-01-29,5286.0,,Oxford/AstraZeneca
2021-01-30,18912.0,,Oxford/AstraZeneca
2021-01-31,19718.0,,Oxford/AstraZeneca
2021-02-01,23888.0,,Oxford/AstraZeneca
2021-02-02,23753.0,,Oxford/AstraZeneca
2021-02-03,23319.0,,Oxford/AstraZeneca
2021-02-04,20904.0,,Oxford/AstraZeneca
2021-02-05,21575.0,,Oxford/AstraZeneca
2021-02-06,17475.0,,Oxford/AstraZeneca
2021-02-07,14660.0,,Oxford/AstraZeneca
2021-02-08,10316.0,,Oxford/AstraZeneca
2021-02-09,7918.0,,Oxford/AstraZeneca
2021-02-10,5259.0,,Oxford/AstraZeneca
2021-02-11,4537.0,,Oxford/AstraZeneca
2021-02-12,3270.0,,Oxford/AstraZeneca
2021-02-13,3787.0,,Oxford/AstraZeneca
2021-02-14,3939.0,,Oxford/AstraZeneca
