date,daily_vaccinations,people_fully_vaccinated
2020-12-13,,
2020-12-14,83999.0,
2020-12-15,83999.0,
2020-12-16,83999.0,
2020-12-17,83999.0,
2020-12-18,83999.0,
2020-12-19,83999.0,
2020-12-20,83999.0,
2020-12-21,78720.0,
2020-12-22,73442.0,
2020-12-23,68164.0,
2020-12-24,62886.0,
2020-12-25,57607.0,
2020-12-26,52329.0,
2020-12-27,47051.0,
2020-12-28,48422.0,
2020-12-29,49792.0,
2020-12-30,51163.0,
2020-12-31,52534.0,
2021-01-01,53905.0,
2021-01-02,55275.0,
2021-01-03,56646.0,21919.0
2021-01-04,74632.0,
2021-01-05,92618.0,
2021-01-06,110604.0,
2021-01-07,128590.0,
2021-01-08,146576.0,
2021-01-09,164562.0,
2021-01-10,182548.0,391399.0
2021-01-11,180162.0,412167.0
2021-01-12,186044.0,428232.0
2021-01-13,201207.0,437977.0
2021-01-14,221122.0,443234.0
2021-01-15,244404.0,447442.0
2021-01-16,261005.0,450062.0
2021-01-17,262404.0,452301.0
2021-01-18,268518.0,456866.0
2021-01-19,286118.0,460625.0
2021-01-20,297294.0,464036.0
2021-01-21,310246.0,466796.0
2021-01-22,329466.0,468617.0
2021-01-23,357218.0,469660.0
2021-01-24,361321.0,470478.0
2021-01-25,371761.0,472446.0
2021-01-26,366883.0,474156.0
2021-01-27,359424.0,476485.0
2021-01-28,359934.0,478254.0
2021-01-29,361343.0,480432.0
2021-01-30,377914.0,491053.0
2021-01-31,392361.0,494209.0
2021-02-01,402534.0,496796.0
2021-02-02,411699.0,498962.0
2021-02-03,434171.0,501957.0
2021-02-04,443943.0,505993.0
2021-02-05,445128.0,510057.0
2021-02-06,436908.0,511719.0
2021-02-07,430859.0,512581.0
2021-02-08,431338.0,516392.0
2021-02-09,436774.0,519553.0
2021-02-10,434444.0,524447.0
2021-02-11,437897.0,530094.0
2021-02-12,445204.0,534869.0
2021-02-13,439024.0,537715.0
2021-02-14,433313.0,539630.0
2021-02-15,422771.0,546165.0
2021-02-16,417385.0,558577.0
2021-02-17,423322.0,573724.0
2021-02-18,417544.0,589591.0
2021-02-19,394376.0,604885.0
2021-02-20,371052.0,615148.0
2021-02-21,358341.0,624325.0
2021-02-22,348100.0,642788.0
