date,daily_vaccinations,people_fully_vaccinated
2020-12-13,,
2020-12-14,2242.0,
2020-12-15,2242.0,
2020-12-16,2242.0,
2020-12-17,2242.0,
2020-12-18,2242.0,
2020-12-19,2242.0,
2020-12-20,2242.0,
2020-12-21,2176.0,
2020-12-22,2110.0,
2020-12-23,2044.0,
2020-12-24,1978.0,
2020-12-25,1912.0,
2020-12-26,1846.0,
2020-12-27,1780.0,
2020-12-28,1815.0,
2020-12-29,1850.0,
2020-12-30,1884.0,
2020-12-31,1919.0,
2021-01-01,1953.0,
2021-01-02,1988.0,
2021-01-03,2023.0,26.0
2021-01-04,2460.0,
2021-01-05,2897.0,
2021-01-06,3335.0,
2021-01-07,3772.0,
2021-01-08,4210.0,
2021-01-09,4647.0,
2021-01-10,5085.0,79.0
2021-01-11,5104.0,97.0
2021-01-12,5826.0,108.0
2021-01-13,6759.0,121.0
2021-01-14,7949.0,129.0
2021-01-15,8433.0,
2021-01-16,8918.0,
2021-01-17,9403.0,201.0
2021-01-18,10123.0,265.0
2021-01-19,10672.0,370.0
2021-01-20,11105.0,396.0
2021-01-21,12318.0,415.0
2021-01-22,15148.0,469.0
2021-01-23,17371.0,516.0
2021-01-24,17063.0,543.0
2021-01-25,18279.0,581.0
2021-01-26,19537.0,639.0
2021-01-27,20845.0,674.0
2021-01-28,21463.0,717.0
2021-01-29,19705.0,750.0
2021-01-30,19885.0,786.0
2021-01-31,20824.0,841.0
2021-02-01,21508.0,1066.0
2021-02-02,21530.0,1160.0
2021-02-03,22149.0,1216.0
2021-02-04,23101.0,1635.0
2021-02-05,25788.0,2471.0
2021-02-06,26854.0,2606.0
2021-02-07,27089.0,2792.0
2021-02-08,27364.0,3491.0
2021-02-09,27921.0,3687.0
2021-02-10,28015.0,3795.0
2021-02-11,27897.0,4010.0
2021-02-12,27743.0,4224.0
2021-02-13,26285.0,4573.0
2021-02-14,26206.0,5402.0
2021-02-15,24418.0,7251.0
2021-02-16,23033.0,12988.0
2021-02-17,22012.0,19342.0
2021-02-18,20649.0,25433.0
2021-02-19,18891.0,32002.0
2021-02-20,17376.0,37773.0
2021-02-21,16398.0,42752.0
2021-02-22,16601.0,49729.0
